series_id,Cs,cover_m,cover_mm,D28,m_aging,C_th,t_init_idx,t_init_year,onset_observed
139,0.8931724424391768,0.08811215224538571,88.11215224538572,5.885227214430835e-12,0.4378546335526845,0.3458056202402865,,,False
140,0.292695088625272,0.04830111224920063,48.301112249200635,6.6870086676679335e-12,0.285686016786975,0.312641108598301,,,False
141,1.2348439812154304,0.05442909783547278,54.429097835472774,7.700011924118711e-12,0.22502024565290155,0.40017104491390953,271.0,20.774811772758383,True
142,1.4257559339561412,0.05144360864441769,51.44360864441769,6.712303104476327e-12,0.23978418737505683,0.46695348407775117,330.0,25.297741273100616,True
143,0.46427251489385135,0.056144788242052254,56.14478824205226,7.677637463090066e-12,0.31572356766720777,0.24712875200776196,,,False
144,0.7359634211737165,0.07659699658350161,76.5969965835016,7.533429334198287e-12,0.3015990928938872,0.4652621041237127,,,False
145,0.28273982952836385,0.1068690007319539,106.8690007319539,8.568148828841211e-12,0.41085942965122035,0.36882246970523713,,,False
146,1.0081656243332533,0.06526652027314722,65.26652027314722,4.810779809454844e-12,0.2540316037580435,0.1557764001678767,379.0,29.05407255304586,True
147,0.7197667165689371,0.091856510825991,91.856510825991,6.908583247174018e-12,0.21030288288692475,0.4682095550416898,,,False
148,0.4119144758842933,0.04839715433111525,48.39715433111525,4.058120064153361e-12,0.4255436469825987,0.4464944863659561,,,False
149,1.027209251749411,0.04604816467940691,46.04816467940691,5.071298172721351e-12,0.22455714727765413,0.21458370756312184,155.0,11.88227241615332,True
150,0.46874560489907846,0.062407719169676135,62.407719169676135,5.521893089516224e-12,0.2552828144383154,0.3173807008656746,,,False
151,1.561583181594374,0.0807323403485525,80.73234034855251,4.5804182931342396e-12,0.4139714061622529,0.44162913837147566,,,False
152,1.4882031907160542,0.10035083424915595,100.35083424915595,4.452346287695932e-12,0.4144770269773485,0.40805074163029265,,,False
153,1.0081985417972439,0.05176214676649182,51.762146766491824,5.258540539558891e-12,0.3181256588883107,0.18870076640539382,375.0,28.747433264887064,True
154,1.4354761842244093,0.08835406591471653,88.35406591471653,5.631960553864407e-12,0.30182987225631763,0.12755440004416982,653.0,50.05886379192334,True
155,1.276903905820643,0.04815709876359234,48.15709876359234,8.945529149239333e-12,0.32778992442503163,0.11497152576961751,76.0,5.8261464750171115,True
156,0.38950209375269784,0.07967518789482628,79.67518789482628,7.385469735426225e-12,0.2699552642898422,0.36182674878123566,,,False
157,0.9126623233445988,0.08798840244823838,87.98840244823839,6.417763219071686e-12,0.3263769351063919,0.155172644956583,,,False
158,1.074503321982119,0.0898065881769488,89.8065881769488,5.028456420723178e-12,0.3827558366019057,0.4412079013004159,,,False
159,0.9344446785702988,0.0827108518945554,82.7108518945554,8.062402990344091e-12,0.24083124815236115,0.4729267943195862,,,False
160,1.3634345619252541,0.09593901692141908,95.93901692141908,7.829266467136402e-12,0.2376328600453186,0.3714537813404203,,,False
161,0.5565254086141839,0.06882957276376128,68.82957276376128,8.575315303459526e-12,0.29923724845251015,0.263956536655227,,,False
162,0.7046634255282509,0.07371548969824773,73.71548969824774,7.790727231024946e-12,0.4302931415543425,0.4457121496593015,,,False
163,1.2379603643215087,0.05060858692565018,50.60858692565018,3.718146060173872e-12,0.26923376145011724,0.1795840532636789,293.0,22.46132785763176,True
164,1.2457149143789412,0.0715896291506526,71.5896291506526,4.9040641065702414e-12,0.23567041893220583,0.3751724554282887,,,False
165,0.7768633413348907,0.041720703991127955,41.720703991127955,5.730184661871298e-12,0.27833544924352166,0.24081015042138557,258.0,19.7782340862423,True
166,0.21228443278417153,0.08314101503113976,83.14101503113976,8.0997470340048e-12,0.2127956313208131,0.3348898074654465,,,False
167,0.2762059965714732,0.07915118261754889,79.15118261754888,5.262608260173756e-12,0.31204143554417596,0.21155321785120257,,,False
168,1.1042897778335996,0.09749531285219423,97.49531285219423,6.218135345492775e-12,0.30132373822205716,0.233909005133046,,,False
169,1.2284672277786959,0.04289338912857521,42.89338912857521,7.723544042089522e-12,0.4113132156090259,0.17195031653445841,188.0,14.412046543463381,True
170,0.4257123476093732,0.04235995126002268,42.359951260022676,4.672697355343382e-12,0.375940378453536,0.11712638830198341,552.0,42.31622176591376,True
171,1.0225432415222018,0.09259329472038479,92.59329472038479,8.268395087716838e-12,0.3221632024029921,0.24890654190957928,,,False
172,0.3456216095173448,0.050084920329252276,50.08492032925228,6.745077136552542e-12,0.3809091470718946,0.13699125105824259,,,False
173,0.3859674163355733,0.05434809263586454,54.34809263586454,4.0967863083014605e-12,0.3061498710741139,0.34600881077039913,,,False
174,0.6089996254839868,0.0672476226637152,67.2476226637152,6.3922383861522846e-12,0.28489255391754503,0.12694055714680508,464.0,35.57015742642026,True
175,0.32186054200098757,0.06552077002655433,65.52077002655433,6.448766177890772e-12,0.31466983346710986,0.28047082769798903,,,False
176,0.8300576367274407,0.0842419979981805,84.2419979981805,8.47969417813683e-12,0.29662921320668173,0.18980519873693544,753.0,57.724845995893226,True
177,1.2467622745644427,0.09297305830034167,92.97305830034166,5.418821107708022e-12,0.37983095218535223,0.26839323791466213,,,False
178,1.0958023333773999,0.060512096201034454,60.51209620103445,8.832582780817045e-12,0.38188776029303495,0.4596198289913961,,,False
179,1.1515327844281684,0.0922713452440143,92.2713452440143,8.104805232592478e-12,0.4122566242304836,0.3892042783697247,,,False
180,0.28556481103554565,0.0692841951230076,69.28419512300759,5.796998551617761e-12,0.33070732774235145,0.10820899310285333,,,False
181,1.519506868461669,0.06386010412132007,63.86010412132006,7.878986671987615e-12,0.3768213438181568,0.348548248339865,,,False
182,1.3508923113923332,0.08353442762223692,83.53442762223692,4.721634264352123e-12,0.28037448267572096,0.42006418202354023,,,False
183,0.32992707483835804,0.08977653829303539,89.77653829303539,4.516648957461342e-12,0.33770939656816434,0.21250357973835643,,,False
184,0.7666403585003433,0.06339770687161361,63.397706871613615,8.892416922255763e-12,0.37931234946228276,0.34961017653420035,,,False
185,1.0980138982880667,0.057258253491057176,57.258253491057175,3.793684869153419e-12,0.2435953728865176,0.2787312822608584,631.0,48.37234770704997,True
186,0.6940705252576274,0.06900742469521551,69.0074246952155,6.143714074060061e-12,0.34756671264029937,0.2729177748345418,,,False
